EN,FR
she is almost as tall as you .,elle est presque aussi grande que toi .
she is as tall as you .,elle est aussi grande que toi .
she is two years older than you .,elle est deux ans plus vieille que vous .
she is two years older than you .,elle est deux ans plus vieille que toi .
she is two years older than you .,elle a deux ans de plus que toi .
she is two years older than you .,elle a deux ans de plus que vous .
she is no stranger to me .,elle ne m est pas etrangere .
she is far from honest .,elle est loin d etre honnete .
she is by no means angelic .,elle n est en aucun cas angelique .
she is no ordinary student .,ce n est pas une eleve ordinaire .
she is too young to marry .,elle est trop jeune pour se marier .
she is not about to get married .,elle ne se mariera pas de si tot .
she is really in good health .,elle se porte fort bien .
she is much afraid of dogs .,elle a tres peur des chiens .
she is afraid of dogs .,elle a peur des chiens .
she s just putting up a front .,elle fait juste semblant .
she is ashamed of her old clothes .,elle a honte de ses vieux vetements .
she is a chatterbox .,c est un moulin a parole .
she is happy .,elle est heureuse .
she is babbling with happiness .,elle deborde de bonheur .
she is active .,elle est active .
she is wearing a valuable ring .,elle porte une bague de prix .
she is wearing an expensive necklace .,elle porte un collier de prix .
she is busy preparing supper now .,la elle est occupee a preparer le diner .
she isn t lonely now .,elle n est plus seule maintenant .
she is now involved in tennis .,elle s interesse maintenant au tennis .
she is in her hotel now .,elle est a son hotel maintenant .
she is forbidden to go out .,elle est privee de sortie .
she is out now .,elle est en deplacement en ce moment .
she is writing a letter now .,elle ecrit une lettre maintenant .
she isn t running .,elle ne court pas .
she s heaps better today .,elle va beaucoup mieux aujourd hui .
she is in hospital now .,elle est a l hopital en ce moment .
she is appearing on tv tonight .,elle passe a la tele ce soir .
she is off duty tonight .,elle n est pas en poste ce soir .
she is guilty of fraud .,elle est coupable de fraude .
she is afraid of falling ill again .,elle a peur de retomber malade .
she is singing the latest popular songs .,elle chante les derniers tubes .
she is singing the latest popular songs .,elle chante les dernieres chansons populaires .
she is as clever as she is beautiful .,elle est aussi intelligente qu elle est belle .
she is as clever as she is beautiful .,elle est aussi intelligente que belle .
she is far from being richly gifted .,elle est loin d etre vraiment douee .
she is a gifted artist .,elle est une artiste nee .
she is devoted to her three children .,elle est entierement devouee a ses trois enfants .
she s busy with her work .,elle est occupee par son travail .
she s busy with her work .,elle est affairee .
she s at work isn t she ?,elle est au travail n est ce pas ?
she is as simple as a child .,elle a l innocence d un enfant .
she is very kind to us .,elle est tres gentille avec nous .
she is as young as i am .,elle est aussi jeune que moi .
she is very dear to me .,elle m est tres chere .
she is most kind to me .,elle est tres gentille avec moi .
she is very bitter toward me .,elle est tres amere envers moi .
she is hostile to me .,elle m est hostile .
she is my classmate .,elle est ma camarade de classe .
she s my type .,elle est mon genre .
she is the only friend i have .,elle est la seule amie que j ai .
she isn t to my taste .,elle n est pas mon genre .
she is my elder sister .,c est ma s ur ainee .
she is envious of my success .,elle est jalouse de ma reussite .
she is a friend of mine .,c est une amie a moi .
she is five years junior to me .,elle a cinq ans de moins que moi .
she is senior to me by six years .,elle est de six ans mon ainee .
she is much taller than i .,elle est beaucoup plus grande que moi .
she is much taller than i .,elle est bien plus grande que moi .
she is very fond of writing poems .,elle adore ecrire des poemes .
she is not a poet but a novelist .,elle n est pas poete mais romanciere .
she s worrying about her exams .,elle s inquiete pour ses examens .
she is never on time .,elle n est jamais a l heure .
she is handicapped by poor hearing .,elle souffre d une mauvaise audition .
she is afraid of her own shadow .,elle a peur de son propre ombre .
she is proud of her children .,elle est fiere de ses enfants .
she is looking for her car keys .,elle cherche les cles de sa voiture .
she is proud of her students .,elle est fiere de ses eleves .
she is proud of her sons .,elle est fiere de ses fils .
she is proud of her son .,elle est fiere de son fils .
she is particular about her dress .,elle est difficile en matiere d habillement .
she is blind to her own beauty .,elle est dysmorphophobique .
she is proud of her daughter .,elle est fiere de sa fille .
she is very proud of her daughter .,elle est tres fiere de sa fille .
she s a really nice girl .,c est une tres belle fille .
she s fond of taking pictures .,elle aime prendre des photos .
she is very photogenic .,elle est tres photogenique .
she s lost her car key .,elle a perdu sa cle de voiture .
she s lost her car key .,elle a perdu la cle de sa voiture .
she is learning how to drive a car .,elle apprend a conduire une voiture .
she isn t afraid of snakes .,elle n a pas peur des serpents .
she is a very intelligent young lady .,c est une jeune femme tres intelligente .
she s suffering from a serious disease .,elle souffre d une maladie grave .
she is about to leave .,elle est sur le point de partir .
she is in need of help .,elle a besoin d aide .
she is not in the least surprised .,elle n est pas du tout surprise .
she is not less than thirty .,elle n a pas moins de trente ans .
she is dark skinned .,elle a la peau noire .
she is on a diet .,elle est au regime .
she is a reliable person .,c est une personne fiable .
she is a reliable person .,on peut compter sur elle .
she is a reliable person .,c est une personne de confiance .
she is getting up a new play .,elle monte une nouvelle piece .
she is interested in learning new ideas .,elle est interessee d apprendre de nouvelles idees .
she is interested in learning new ideas .,elle est interessee a apprendre de nouvelles idees .
she is an earnest student .,c est une etudiante serieuse .
she is kindness itself .,elle est la gentillesse meme .
she is kind .,elle est gentille .
she is a kind girl .,c est une gentille fille .
she is playing with a doll .,elle joue a la poupee .
she is very cynical about life .,elle a une conception cynique de la vie .
she is used to speaking in public .,elle a l habitude de parler en public .
she is friendly to everybody .,elle est amicale avec tout le monde .
she is friendly to everybody .,elle est sympa avec tout le monde .
she is an expert in mathematics .,elle est experte en mathematiques .
she is traveling around the world .,elle voyage autour du monde .
she is artistic by nature .,elle a des aptitudes naturelles d artiste .
she is weak by nature .,elle est d une nature faible .
she is wearing a blue dress .,elle porte une robe bleue .
she is quiet .,elle est tranquille .
she is fond of singing old songs .,elle adore chanter de vieilles chansons .
she is not what she used to be .,elle n est plus ce qu elle etait .
she is holding her baby in her arms .,elle tient son bebe dans ses bras .
she is giving the baby a bath .,elle baigne le bebe .
she is guilty of stealing .,elle est coupable d un vol .
she is a teacher s pet .,c est la chouchoute du professeur .
she is reserved by nature .,elle est reservee par la nature .
she is an utter stranger to me .,elle est une complete etrangere pour moi .
she is not quite content .,elle n est pas tout a fait satisfaite .
she is wearing a nice watch .,elle porte une belle montre .
she is a twin .,c est une jumelle .
she is a twin .,elle est jumelle .
she is as beautiful as ever .,elle est belle comme toujours .
she is not only intelligent but beautiful .,elle est non seulement intelligente mais aussi jolie .
